title,rating,year
007: No Time to Die,7.9,2021
The Rock,7.9,1996
I am Legend,7.9,2007
There Will Be Blood,7.9,2007
A Star Is Born,7.9,2018
Cruella,7.9,2021
The Hangover,7.9,2009
The Artist,7.9,2011
Luca,7.9,2021
Shrek 2,7.9,2004
Sin City,7.9,2005
Raya and the Last Dragon,7.9,2021
Ocean's Eleven,7.9,2001
Harry Potter and the Chamber of Secrets,7.9,2002
Omoide no Mânî,7.9,2014
Gran Torino,7.9,2008
Despicable Me,7.9,2010
Pirates of the Caribbean: Dead Man's Chest,7.9,2006
American Beauty,7.9,1999
,7.9,2024
300,7.9,2007
1917,7.9,2019
,7.9,1955
Josee to Tora to Sakana-tachi,7.9,2020
Kaze no tani no Naushika / Nausicaä of the Valley of the Winds,7.9,1984
The Social Network,7.9,2010
Blood Diamond,7.9,2006
The Bourne Ultimatum,7.9,2007
How to Train Your Dragon 2,7.9,2014
Memento,7.9,2000
Zhong quan ba gong,7.9,2023
The Revenant,7.9,2015
Ant-Man,7.9,2015
Killers Of The Flower Moon,7.9,2023
Finding Nemo,7.9,2003
Big Hero 6,8.0,2014
The Last Samurai,8.0,2003
Moana,7.9,2016
Big Fish,8.0,2003
Ghostbusters,8.0,1984
Frozen,8.0,2013
The Girl With the Dragon Tattoo,8.0,2011
Gandrīz vecpuisis,8.0,2023
Dune,8.0,2021
Law Abiding Citizen,8.0,2009
The Nightmare Before Christmas,8.0,1993
Kill Bill: Vol. 1,8.0,2003
No Country for Old Men,8.0,2007
The Sixth Sense,8.0,1999
Wreck-It Ralph,8.0,2012
"Pan's Labyrinth / Laberinto del Fauno, El",8.0,2006
,8.0,2023
,8.0,2014
Inside Out,8.0,2015
Spider-Man: Far From Home,8.0,2019
Rammstein: Paris,8.0,2016
Home Alone,8.0,1990
Limitless,8.0,2011
Casino Royale,8.0,2006
A Dog's Journey,8.0,2019
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,8.0,2024
Whiplash,8.0,2014
Mr. Nobody,8.0,2009
The Martian,8.0,2015
Poor Things,8.0,2023
The Taste of Freedom,8.0,2023
Inglourious Basterds,8.0,2009
Sing 2,8.0,2021
Guardians of the Galaxy 2,8.0,2017
District 9,8.0,2009
Blade,8.0,1998
Reservoir Dogs,8.0,1992
Elemental,8.0,2023
The Devil's Advocate,8.0,1997
Back to the Future Part III,8.0,1990
My Neighbor Totoro / Tonari no Totoro,8.0,1988
The Banshees of Inisherin,8.0,2022
The Shining,8.0,1980
Mad Max: Fury Road,8.0,2015
Prisoners,8.0,2013
Hellboy,8.0,2004
,8.0,1961
Sherlock Holmes,8.0,2009
Kung Fu Panda,8.0,2008
Little Women,8.0,2019
Ice Age,8.0,2002
Searching,7.7,2018
Byôsoku 5 senchimêtoru,7.7,2007
12 Years a Slave,7.7,2013
Everybody's Everything,7.7,2019
"Triplettes de Belleville, Les",7.7,2003
Loving Vincent,7.7,2017
Relatos salvajes,7.7,2014
Kung Fu Panda 2,7.7,2011
Richard Jewell,7.7,2019
Hotel Mumbai,7.7,2018
Dunkirk,7.7,2017
Perfetti sconosciuti,7.7,2016
Megamind,7.7,2010
Chinatown,7.7,1974
Äideistä parhain,7.7,2005
Moon,7.7,2009
Real Steel,7.7,2011
Gifted,7.7,2017
Thor: The Dark World,7.7,2013
Onward,7.7,2019
This Is It,7.7,2009
Stalker,7.7,1979
Bungo Stray Dogs Dead Apple,7.7,2018
The Big Short,7.8,2016
Dungeons & Dragons: Honor Among Thieves,7.8,2023
John Wick,7.8,2014
Malena,7.8,2000
Monsters University,7.8,2013
2001: A Space Odyssey,7.8,1968
Skyfall,7.8,2012
Me Before You,7.8,2016
The Super Mario Bros. Movie,7.8,2023
Encanto,7.8,2021
Drive,7.8,2011
Free Guy,7.8,2021
Upgrade,7.8,2018
Predator,7.8,1987
Oceans,7.8,2009
Doctor Strange in the Multiverse of Madness,7.8,2022
Wrath of Man,7.8,2021
The Hateful Eight,7.8,2015
Sleepy hollow,7.8,1999
From Dusk Till Dawn,7.8,1995
The Greatest Showman,7.8,2018
Minority Report,7.8,2002
The Bourne Identity,7.8,2002
The Terminal,7.8,2004
Life of Pi,7.8,2012
American Gangster,7.8,2007
Extraction 2,7.8,2023
Pride and Prejudice,7.8,2005
,7.8,1976
First Blood,7.8,1982
Fast Five,7.8,2011
Star Wars: The Clone Wars,7.8,2008
The First Avenger: Captain America,7.8,2011
DC League of Super-Pets,7.8,2022
One Hundred and One Dalmatians,7.8,1961
The Hobbit: The Battle of the Five Armies,7.8,2014
Rise of the Planet of the Apes,7.8,2011
Source Code,7.8,2011
,7.8,2010
Mars Express,7.8,2023
The Grand Budapest Hotel,7.8,2014
Alita: Battle Angel,7.8,2018
The Brest Fortress,7.8,2010
Maquia: When the promised Flower Blooms / Sayonara no Asa ni Yakusoku no Hana wo Kazarou,7.8,2018
Lion,7.8,2016
Ready Player One,7.8,2018
Kingdom of the Planet of the Apes,7.8,2024
Paralimpiets,7.8,2022
Train to Busan,7.8,2016
The Fighter,7.8,2010
Stardust,7.8,2007
Zombieland,7.8,2009
Five Feet Apart,7.8,2019
The Incredibles 2,7.8,2018
The Reader,7.8,2008
Star Trek,7.8,2009
Spider-Man: Homecoming,7.8,2017
Pirates of the Caribbean: At worlds end,7.8,2007
Sherlock Holmes: A Game of Shadows,7.8,2011
Kick-Ass 2,7.8,2013
Seven Pounds,7.8,2008
Tucker & Dale vs Evil,7.8,2009
Man of Steel,7.8,2013
Paddington 2,7.8,2017
Majo no takkyûbin / Kiki's Delivery Service,7.8,1989
Harry Potter And The Order Of The Phoenix,7.8,2007
The Mask,7.8,1994
My Name Is Khan,7.8,2010
Jumanji,7.8,1995
Iron Man 3,7.8,2013
RRR,7.8,2022
Men in Black,7.8,1997
The Conjuring,7.8,2013
,7.8,2012
Bom yeoreum gaeul gyeoul geurigo bom,7.8,2003
Isle of Dogs,7.6,2018
Remember Me,7.6,2010
Detachment,7.6,2011
Finding Neverland,7.6,2004
,7.6,2024
Kubo and the Two Strings,7.6,2016
Ant-Man and the Wasp,7.6,2018
127 Hours,7.6,2010
The Hitman's Bodyguard,7.6,2017
Transformers,7.6,2007
The Iron Claw,7.6,2023
En man som heter Ove,7.6,2015
Die Fremde / When We Leave,7.6,2010
Love Actually,7.6,2002
American Psycho,7.6,2000
About time,7.6,2013
Black Panther: Wakanda Forever,7.6,2022
Dogville,7.6,2003
The Wolverine,7.6,2013
Watchmen,7.6,2009
The Blind Side,7.6,2009
The Last Duel,7.6,2021
The Judge,7.6,2014
Horizon: An American Saga - Chapter 1,7.6,2024
Bilder der Welt und Inschrift des Krieges,7.6,1988
Talk to Me,7.6,2023
Papillon,7.6,2017
Bridge to Terabithia,7.6,2007
"Scaphandre et le papillon, Le",7.7,2007
Challengers,7.7,2023
Frozen 2,7.7,2019
,7.7,1972
True Lies,7.7,1994
Point Break,7.7,1991
Red,7.7,2010
Chocolat,7.7,2000
Kung Fu Hustle,7.7,2004
The Mauritanian,7.7,2021
The Professor and the Madman,7.7,2018
The Book Thief,7.7,2014
Arrival,7.7,2016
Teenage Mutant Ninja Turtles: Mutant Mayhem,7.7,2023
Iron Man 2,7.7,2010
Perfume: The Story of a Murderer,7.7,2006
Mulholland Dr.,7.7,2001
"Mome, La",7.7,2007
Eastern Promises,7.7,2007
"I, Robot",7.7,2004
,7.7,2017
The Mummy,7.7,1999
The Peanut Butter Falcon,7.7,2019
Spirit: Stallion of the Cimarron,7.7,2002
Saw X,7.7,2023
Verdens verste menneske,7.7,2021
Instant Family,7.7,2018
Wind River,7.7,2017
Hellboy 2: The Golden Army,7.7,2008
Vozvrashcheniye,7.7,2003
Perfect Days,7.7,2023
Pretty Woman,7.7,1990
The Amazing Spider-Man,7.7,2012
La La Land,7.7,2016
Kaze tachinu / The Wind Rises,7.7,2013
Now You See Me,7.7,2013
Speed,7.7,1994
Anastasia,7.7,1997
Legends Of The Fall,7.7,1994
Gangs of New York,7.7,2002
Total Recall,7.7,1990
Twelve Monkeys,7.7,1995
Toy Story 4,7.7,2019
In Bruges,7.7,2008
Mission: Impossible – Fallout,7.7,2018
The Wrestler,7.7,2009
Black Panther,7.7,2018
Her,7.7,2013
Dallas Buyers Club,7.7,2013
Okuribito / Departures,7.7,2008
V for Vendetta,7.7,2005
The Illusionist,7.7,2006
Atonement,7.7,2007
Blade Runner,7.7,1982
A Dog's Purpose,7.7,2017
The Imitation Game,7.7,2014
Equilibrium,7.7,2002
Harry Potter and the Half-Blood Prince,7.7,2008
John Wick: Chapter Two,7.7,2016
Corpse Bride,7.7,2005
,7.7,1957
Kingsman: The Secret Service,7.7,2014
The Amazing Spider-Man 2,7.7,2014
Blade Runner 2049,7.7,2017
Ponyo On A Cliff / Gake no ue no Ponyo,7.7,2008
Wonder Woman,7.7,2017
Everest / Abominable,7.7,2019
,7.7,1980
,7.7,1998
Doctor Sleep,7.7,2019
,7.7,2004
Ladybug & Cat Noir: Awakening,7.6,2023
One Piece Film: Red,7.7,2022
Chang kong zhi wang,7.6,2023
(500) Days of Summer,7.6,2009
Serbuan maut,7.6,2011
Migration,7.6,2023
Mission: Impossible - Ghost Protocol,7.6,2011
The Conjuring 2,7.6,2016
The Silver Linings Playbook,7.6,2012
Kedi,7.6,2016
Glass Onion: A Knives Out Mistery,7.6,2022
Moneyball,7.6,2011
Babel,7.6,2006
Knox Goes Away,7.6,2023
The Call of the Wild,7.6,2020
Onegin,7.6,2024
A Single Man,7.6,2009
Kung Fu Panda 4,7.6,2024
Les Misérables,7.6,2012
Star Wars Anthology: Rogue One,7.6,2016
Meet Joe Black,7.6,1998
Poyekhavshaya,7.6,2023
Maleficent: Mistress of Evil,7.6,2019
Jumanji: Welcome to the Jungle,7.6,2017
Jeanne du Barry,7.6,2023
X-Men: Apocalypse,7.6,2016
The Illusionist  / L'Illusionniste,7.6,2009
Baby Driver,7.6,2017
Shot Caller,7.6,2017
Munich,7.6,2005
,7.6,2006
Captain Fantastic,7.6,2016
,7.6,2023
La vie d'Adèle / Blue is the Warmest Color,7.6,2013
Bullet Train,7.6,2022
Licorice Pizza,7.6,2021
Hell or High Water,7.6,2016
Flight,7.6,2012
Get Out,7.6,2017
Aladdin,7.6,2019
Moonlight,7.6,2016
The Fall Guy,7.6,2024
Only the Brave,7.6,2017
Despicable Me 2,7.6,2013
Rio,7.6,2011
,7.6,2017
Khokkeynyye papy,7.6,2023
Det sjunde inseglet,7.6,1956
Sweeney Todd: The Demon Barber of Fleet Street,7.6,2007
X-Men: The Last Stand,7.6,2006
Eight Below,7.6,2005
Wonka,7.6,2023
Angel A,7.6,2005
BlackBerry,7.6,2023
Birdman,7.6,2014
Gravity,7.6,2013
The Hunger Games: Catching Fire,7.6,2013
Dead Man,7.6,1995
Rango,7.6,2011
Fantastic Beasts and Where to Find Them,7.6,2016
Brave,7.6,2012
Who Am I - Kein System ist sicher,7.6,2014
Sully,7.6,2016
The Lion King,7.6,2019
Rise of the Guardians,7.6,2012
"The Skin That Inhabit / Piel que Habito, La",7.6,2011
One day,7.6,2011
The Flowers Of War,7.6,2012
Live Free or Die Hard,7.6,2007
The Electrical Life of Louis Wain,7.6,2021
True Grit,7.6,2010
Gone Baby Gone,7.6,2007
Ice Age: Dawn of the Dinosaurs,7.6,2009
The Croods 3D,7.6,2013
Dracula,7.6,1992
Miss Sloane,7.6,2016
The Fault in Our Stars,7.6,2014
Demain tout commence,7.6,2016
C'mon C'mon,7.6,2021
The Others,7.6,2001
Donne-moi des ailes / Spread your wings,7.6,2019
Pirates of the Caribbean: On Stranger Tides,7.6,2011
The Flash,7.6,2023
Hidden Figures,7.6,2017
The Hunger Games: The Ballad of Songbirds and Snakes,7.6,2023
YA delayu shag,7.6,2023
Anatomie d'une chute,7.6,2023
The Patriot,7.6,2000
,7.6,2017
Kingdom of Heaven,7.6,2005
,7.6,2023
3:10 to Yuma,7.6,2007
,7.6,2023
The Changeling,7.6,2008
Komandir,7.6,2024
The Roundup: No Way Out,7.6,2023
Captain Phillips,7.6,2013
Rush Hour,7.6,1998
,7.5,2019
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,7.6,2019
Zezowate Szczescie,7.5,1960
The Phantom of the Opera,7.5,2004
The French Dispatch,7.5,2021
,7.5,2018
10 Lives,7.5,2024
Tres metros sobre el cielo,7.5,2010
Les Trois Mousquetaires: D'Artagnan,7.5,2023
Becoming Jane,7.5,2007
Brokeback Mountain,7.5,2005
Creed 2,7.5,2018
Water For Elephants,7.5,2011
,7.5,2019
Stranger Than Paradise,7.5,1984
,7.5,2011
End of Watch,7.5,2012
The NeverEnding Story / Die Unendliche Geschichte,7.5,1984
Only Lovers Left Alive,7.5,2013
Bruce Almighty,7.5,2003
King Kong,7.5,2005
Insidious / The Further,7.5,2011
,7.5,2005
,7.5,2023
The Equalizer,7.5,2014
Rush Hour 2,7.5,2001
La cara oculta,7.5,2011
Spies in Disguise,7.5,2019
We're the Millers,7.5,2013
The Favourite,7.5,2018
The Intern,7.5,2015
Up in the Air,7.5,2009
,7.5,2020
The Great Gatsby,7.5,2013
Madagascar 3,7.5,2012
Furious 7,7.5,2015
,7.5,2020
The Green Hornet,7.5,2010
M.A.S.H.,7.5,1970
Love Me If You Dare,7.5,2003
Past Lives,7.5,2023
"Love, Rosie",7.5,2014
Pop,7.5,2010
Hotel Transylvania,7.5,2012
Moulin Rouge!,7.5,2001
Hancock,7.5,2008
The Unlikely Pilgrimage of Harold Fry,7.5,2023
Control,7.5,2007
,7.5,2023
Loveless,7.5,2017
Moonrise Kingdom,7.5,2012
A Quiet Place Part II,7.5,2021
,7.5,2024
The Town,7.5,2010
,7.5,2017
Crank,7.5,2006
The Little Prince,7.5,2015
Cloud Atlas,7.5,2012
Plane,7.5,2023
"Orfanato, El",7.5,2007
Bolt,7.5,2008
The Proposal,7.5,2009
,7.5,2007
Long xiong hu di,7.5,1987
The Man from U.N.C.L.E.,7.5,2015
The Adventures of Scamper the Penguin,7.5,1986
"Blokada: Leningradskiy metronom, Operatsiya Iskra",7.5,1977
In Time,7.5,2011
Godzilla x Kong: The New Empire,7.5,2024
It,7.5,2017
Yes Man,7.5,2008
"Planes, Trains & Automobiles",7.5,1987
,7.5,2010
Biutiful,7.5,2010
Billy Elliot,7.5,2000
Donnie Darko,7.5,2001
The Incredible Hulk,7.5,2008
What Women Want,7.5,2000
Jane Eyre,7.5,2011
O anthropos tou theou / Man of God,7.5,2021
Midnight in Paris,7.5,2011
Nocturnal Animals,7.5,2016
Nobody,7.5,2021
The Adventures of Tintin: The Secret of the Unicorn,7.5,2011
Buried,7.5,2010
Do rassveta,7.5,2023
The Ghost Writer,7.5,2010
Coraline,7.5,2009
The Theory of Everything,7.5,2014
Mission: Impossible 5,7.5,2015
Shazam!,7.5,2019
Bridge of Spies,7.5,2015
Oblivion,7.5,2013
12,7.5,2007
Ralph Breaks the Internet: Wreck-It Ralph 2,7.5,2018
Split,7.5,2016
Pamyo,7.5,2024
Nenormalnyy,7.5,2024
The Accountant,7.5,2016
Aquaman,7.5,2018
King Arthur: Legend of the Sword,7.4,2017
Cruel Intentions,7.4,1999
,7.4,2023
Legend of the Guardians,7.4,2010
Looper,7.4,2012
West Side Story,7.4,2021
Mr. and Mrs. Smith,7.4,2005
,7.4,2008
Jackass 3D,7.4,2010
Lawless,7.4,2012
1408,7.4,2007
Bad Times at the El Royale,7.4,2018
9,7.4,2009
The Cabin in the Woods,7.4,2012
The Matrix Reloaded,7.4,2003
The Basketball Diaries,7.4,1995
"Crazy, Stupid, Love",7.4,2011
Маугли,7.4,1973
28 Weeks Later...,7.4,2007
Finding Dory,7.4,2016
,7.4,2008
K-PAX,7.4,2001
The Beekeeper,7.4,2024
House of Gucci,7.4,2021
Elvis,7.4,2022
Madagascar: The Crate Escape,7.4,2008
,7.4,2017
Beverly Hills Cop IV,7.4,2024
Wasabi,7.4,2001
Алға,7.4,2022
Eliza Graves / Stonehearst Asylum,7.4,2014
Blade: Trinity,7.4,2004
Despicable Me 4,7.4,2024
The Hangover Part II,7.4,2011
,7.4,1977
Babylon,7.4,2022
Trainspotting,7.4,1996
Atlantis: The Lost Empire,7.4,2001
,7.4,2016
RocknRolla,7.4,2008
Nice guys,7.4,2016
,7.4,2009
Fear and Loathing in Las Vegas,7.4,1998
The Passion of the Christ,7.4,2004
Cheburashka,7.4,2022
A Dog's Way Home,7.4,2019
Warcraft,7.4,2016
The Fast and the Furious,7.4,2001
The Bucket List,7.4,2007
Paddington,7.4,2014
Miss Peregrine's Home for Peculiar Children,7.4,2016
Sunshine,7.4,2007
The A-Team,7.4,2010
The Best of Me,7.4,2014
Chappie,7.4,2015
Jumanji: The Next Level,7.4,2019
Shooter,7.4,2007
The Jungle Book,7.4,2016
,7.4,2005
The Adjustment Bureau,7.4,2010
Jack Reacher,7.4,2012
Tengo ganas de ti,7.4,2012
The Bank Job,7.4,2008
La passion de Dodin Bouffant,7.4,2023
Fragments: Marilyn Monroe,7.4,2012
A Knight's Tale,7.4,2001
John Carter,7.4,2012
Ferdinand,7.4,2017
Underworld,7.4,2003
Deepwater Horizon,7.4,2016
The Perks of Being a Wallflower,7.4,2012
Captain Marvel,7.4,2019
The Last: Naruto the Movie,7.4,2014
Furious 6,7.4,2013
A Quiet Place,7.4,2018
King Richard,7.4,2021
,7.4,2023
Kung Fu Panda 3,7.4,2016
Molly's Game,7.4,2017
A Monster Calls,7.4,2016
Blue Beetle,7.4,2023
Sing,7.4,2016
Pirates of the Caribbean: Dead Men Tell No Tales,7.4,2017
Juno,7.4,2007
Samsara,7.4,2011
Ballerina,7.4,2017
The Mist,7.4,2007
Jungle Cruise,7.4,2021
Ice Age 2: The Meltdown,7.4,2006
Prince of Persia: Sands of Time,7.4,2010
The Princess and the Frog,7.4,2009
Minamata,7.4,2020
,7.5,2018
Everest,7.5,2015
Le professionnel,7.4,1981
Dharmaga tongjoguro kan kkadalgun,7.4,1989
Long ma jing shen,7.5,2023
X-Men Origins: Wolverine,7.5,2009
,7.3,2008
Belle: Ryu to Sobakasu no Hime,7.4,2021
Bad Boys for Life,7.3,2020
War Horse,7.3,2011
Star Trek Into Darkness,7.3,2013
Spider-Man 3,7.3,2007
Bad Boys,7.3,1995
Puss in Boots,7.3,2011
Unstoppable,7.3,2010
Baietii buni ajung în Rai,7.3,2024
MaXXXine,7.3,2024
The Dry,7.3,2020
Ant-Man and the Wasp Quantumania,7.3,2023
Rambo IV,7.3,2007
Enchanted,7.3,2007
The Finest Hours,7.3,2016
Barbie,7.3,2023
La chimera,7.3,2022
Frida,7.3,2002
Southpaw,7.3,2015
Five Nights at Freddy's,7.3,2023
Rocky Balboa,7.3,2006
Mongol,7.3,2007
,7.3,2008
Superbad,7.3,2007
,7.3,2010
P.S. I Love You,7.3,2007
Metallica Through the Never,7.3,2013
Fei lung maang jeung,7.3,1988
Indiana Jones and the Dial of Destiny,7.3,2023
Legend,7.3,2015
Ice Age: Continental Drift,7.3,2012
,7.3,2023
,7.3,2011
Warm Bodies,7.3,2013
Beauty and the Beast,7.3,2017
Ilya and the Robber,7.3,2007
,7.3,2020
Eagle Eye,7.3,2008
Cars,7.3,2006
The Foreigner,7.3,2016
The Time Traveler's Wife,7.3,2009
The Place Beyond the Pines,7.3,2012
The Secret Life of Walter Mitty,7.3,2013
Non-Stop,7.3,2013
Ghostbusters: Afterlife,7.3,2021
Boîte noire,7.3,2021
Turning Red,7.3,2022
Once Upon a Time... in Hollywood,7.3,2019
,7.3,1988
Fei ying gai wak,7.3,1991
The Banishment,7.3,2007
Paterson,7.3,2016
Dodes`ka-den,7.3,1970
,7.3,2023
Deja Vu,7.3,2006
John Wick 3: Parabellum,7.3,2019
The Box,7.3,2021
Men in Black 3,7.3,2012
Trolls Band Together,7.3,2023
War of the Planet of the Apes,7.3,2017
The Mechanic,7.3,2011
Sonic the Hedgehog,7.3,2019
The Holiday,7.3,2006
The Lake House,7.3,2006
Arthur Christmas,7.3,2011
V arktiku,7.3,2023
Secretary,7.3,2002
Marley & Me,7.3,2008
The Bad Guys,7.3,2022
Black Widow,7.3,2021
Scott Pilgrim vs. the World,7.3,2010
The Simpsons Movie,7.4,2007
Easy A,7.3,2010
Final Destination,7.3,2000
Fury,7.4,2014
Life as We Know It,7.4,2010
Just Go with It,7.4,2011
,7.4,2005
"Christmas Carol, А",7.4,2009
,7.4,2008
Star Wars: The Force Awakens,7.4,2015
The Age of Adaline,7.4,2015
Grindhouse,7.4,2007
The Boat That Rocked,7.4,2009
The Ninth Gate,7.4,1999
Don't Breathe,7.4,2016
Turtle: The Incredible Journey,7.4,2009
Code Geass: Fukkatsu no Lelouch,7.4,2019
Soul Kitchen,7.4,2009
,7.4,2018
Shazam! Fury of the Gods,7.4,2022
Mirai,7.4,2018
The Vow,7.4,2011
Batman v Superman: Dawn of Justice,7.4,2016
Youth,7.4,2015
The Island,7.4,2006
Ron’s Gone Wrong,7.4,2021
Downton Abbey: Movie,7.4,2019
Allied,7.4,2016
Independence Day,7.2,1996
This Means War,7.2,2011
Street Kings,7.2,2008
Silent Hill,7.2,2006
Public Enemies,7.2,2009
Road House,7.2,2024
Jurassic World,7.2,2015
Storks,7.2,2016
The Secret Life of Pets 2,7.2,2019
Meari to majo no hana / Mary and the Witch's Flower,7.2,2017
,7.2,2016
Zhmurki,7.2,2005
Robin Hood,7.2,2010
,7.2,2023
The Expendables,7.2,2010
Exam,7.2,2009
Bisang seoneon,7.2,2021
Kong: Skull Island,7.2,2017
The Killer,7.2,2023
Charlie and the Chocolate Factory,7.2,2005
The Fate of the Furious,7.2,2017
The Conjuring: The Devil Made Me Do It,7.2,2021
The Kingdom,7.3,2007
Clicquot,7.2,2023
21,7.2,2008
The Magnificent Seven,7.3,2016
The Exorcism of Emily Rose,7.3,2005
,7.3,2020
Blast from the Past,7.3,1999
Fall,7.3,2022
Trance,7.3,2013
The SpongeBob SquarePants Movie,7.3,2004
Revolutionary Road,7.3,2008
Minions: The Rise of Gru,7.3,2022
War dogs,7.3,2016
Ringu,7.3,1997
The Dreamers,7.3,2003
Across the Universe,7.3,2007
The Guard,7.3,2011
Lolita,7.3,1997
Il Peccato / Mostro,7.3,2018
A Simple Favor,7.3,2018
Bad Boys II,7.3,2003
Operation Fortune: Ruse de guerre,7.3,2023
The Son,7.3,2022
,7.3,2015
The Quick And The Dead,7.3,1995
"Enfant sauvage, L'",7.3,1970
The Equalizer 2,7.3,2018
Pandorum,7.3,2009
,7.3,2021
Dredd,7.3,2012
,7.3,2016
The Zookeeper's Wife,7.3,2016
Flight of the Navigator,7.3,1986
Escape Room,7.3,2019
The Black Phone,7.3,2022
Cloudy with a Chance of Meatballs,7.3,2009
The Aviator,7.3,2004
,7.3,2016
The Shape of Water,7.3,2017
Creed III,7.3,2023
Resident Evil,7.3,2002
,7.3,2022
Commando,7.3,1985
Children of Men,7.3,2006
Mr & Mme Adelman,7.3,2017
21 Jump Street,7.3,2012
The Fountain,7.3,2006
